| Id                      | Version     | Type    | Mod version | Status    |
| language_rivet          | 0.4.5       | plugin  | 3           | installed |
| language_ruby           | 0.1.1       | plugin  | 3           | installed |
| language_rust           | 0.3         | plugin  | 3           | installed |
| language_sass           | 0.1         | plugin  | 3           | installed |
| language_scala          | 0.1         | plugin  | 3           | installed |
| language_sh             | 0.2.3       | plugin  | 3           | installed |
| language_ssh_config     | 0.1.1       | plugin  | 3           | installed |
| language_st             | 0.2         | plugin  | 3           | installed |
| language_starlark       | 0.2         | plugin  | 3           | installed |
| language_swift          | 0.2         | plugin  | 3           | installed |
| language_tal            | 0.1         | plugin  | 3           | installed |
| language_tcl            | 0.1         | plugin  | 3           | installed |
| language_teal           | 0.1         | plugin  | 3           | installed |
| language_tex            | 0.1         | plugin  | 3           | installed |
| language_toml           | 0.2         | plugin  | 3           | installed |
| language_ts             | 0.1         | plugin  | 3           | installed |
| language_tsx            | 0.2         | plugin  | 3           | installed |
| language_typst          | 0.2         | plugin  | 3           | installed |
| language_umka           | 0.1         | plugin  | 3           | installed |
| language_v              | 0.1         | plugin  | 3           | installed |
| language_wren           | 0.1         | plugin  | 3           | installed |
| language_yaml           | 0.1         | plugin  | 3           | installed |
| language_zig            | 0.2         | plugin  | 3           | installed |
| linenumbers             | 0.2         | plugin  | 3           | installed |
| lintplus                | 0.2         | plugin  | 3           | installed |
| liqube                  | 0.1         | color   | 3.0.0       | installed |
| lsp                     | 0.10        | plugin  | 3           | installed |
| lsp_emmet               | 2.7.0       | plugin  | 3           | installed |
| lsp_json                | 1.102.3.0.2 | plugin  | 3           | installed |
| lsp_snippets            | 1.2         | plugin  | 3           | installed |
| lsp_yaml                | 1.18.0      | plugin  | 3           | installed |
| mariana                 | 0.1         | color   | 3.0.0       | installed |
| meta_addons             | 0.1         | meta    | 3           | installed |
| meta_colors             | 0.1         | meta    | 3           | installed |
| meta_languages          | 0.1.21      | meta    | 3           | installed |
| minimap                 | 0.4         | plugin  | 3           | installed |
| moe                     | 0.1         | color   | 3.0.0       | installed |
| monodark                | 0.1         | color   | 3.0.0       | installed |
| monokai                 | 0.1         | color   | 3.0.0       | installed |
| monokai-pro-classic     | 0.1         | color   | 3.0.0       | installed |
| nodejs                  | 22.18.0     | library | 3           | installed |
| nord                    | 0.1         | color   | 3.0.0       | installed |
| onedark                 | 0.1         | color   | 3.0.0       | installed |
| only_dark               | 0.1         | color   | 3.0.0       | installed |
| open_ext                | 0.1         | plugin  | 3           | installed |
| plasma                  | 0.1         | color   | 3.0.0       | installed |
| plugin_manager          | 0.1         | plugin  | 3           | installed |
| previewer               | 0.1.1       | plugin  | 3           | installed |
| rainbowparen            | 0.1.1       | plugin  | 3           | installed |
| restoretabs             | 0.1         | plugin  | 3           | installed |
| rose-pine               | 0.1         | color   | 3.0.0       | installed |
| rose-pine-dawn          | 0.1         | color   | 3.0.0       | installed |
| rose-pine-moon          | 0.1         | color   | 3.0.0       | installed |
| scalestatus             | 0.1         | plugin  | 3           | installed |
| scm                     | 0.1         | plugin  | 3           | installed |
| search_ui               | 0.1         | plugin  | 3           | installed |
| select_colorscheme      | 0.1         | plugin  | 3           | installed |
| settings                | 0.7         | plugin  | 3           | installed |
| snippets                | 1.1         | plugin  | 3           | installed |
| solarized_dark          | 0.1         | color   | 3.0.0       | installed |
| solarized_light         | 0.1         | color   | 3.0.0       | installed |
| solarobj                | 0.1         | color   | 3.0.0       | installed |
| spellcheck              | 0.2         | plugin  | 3           | installed |
| sticky_scroll           | 1.0         | plugin  | 3           | installed |
| synthwave               | 0.2         | color   | 3.0.0       | installed |
| terminal                | 1.06        | plugin  | 3           | installed |
| tokyo-night             | 0.1         | color   | 3.0.0       | installed |
| vscode-dark             | 0.1         | color   | 3.0.0       | installed |
| welcome                 | 0.1         | plugin  | 3.0.0       | installed |
| widget                  | 0.2.1       | library | 3           | installed |
| winter                  | 0.1         | color   | 3.0.0       | installed |
| wordcount               | 0.1         | plugin  | 3           | installed |
| zenburn                 | 0.1         | color   | 3.0.0       | installed |
